parameter,value
Vz_e_min_inbending,-13.0
Vz_e_max_inbending,12.0
Vz_e_min_outbending,-18.0
Vz_e_max_outbending,10.0
e_PCAL_W_min,19.0
e_PCAL_V_min,19.0
e_E_PCAL_min,0.07
SamplingFraction_min,0.17
PCAL_ECIN_SF_min,0.2
y_max,0.75
Q2_min,2.0
Q2_max,10.0
W_min,2.5
W_max,100
e_theta_min,5.
e_theta_max,35.
Pe_min,3.0
Pe_max,10.6
p_PCAL_W_min,0.0
p_PCAL_V_min,0.0
p_E_PCAL_min,0.0
p_theta_min,0.
p_theta_max,60.
Pp_min,0
Pp_max,10.0
(Ve-Vp)_z_max,20.0
